Restaurant Name,Image URL,Photograph Credit,Summary,Tags,Read More Link,Time Out says,Star Rating,Review Content,Address,Contact,Menu Link,Opening Hours
 Cote,https://media.timeout.com/images/103939099/750/562/image.jpg,Photograph: Cayla Zahoran,"What is it? “New York City’s first Korean steakhouse""—among the best in both categories. Why we love it? Cote is sleek, stylish and superb, with gleaming, bronzed inset grills to heat all manner of meat at your table. It’s butcher’s feast cannot be beat, replete with American Wagyu beef and the requisite cumulous egg soufflé, duo of stews and banchan. ","['Restaurants', 'Korean', 'Flatiron']",https://www.timeout.com/newyork/restaurants/cote,,3,"Although Cote is still practically impossible to get into six years after opening, the sleekly chic Korean steak house is worth every reservation notification you can enter. Keep your fingers crossed and clicking and, someday, you’ll be rewarded with Cote’s marvelous meat selections, fired right at the center of your table. It’s butcher’s feast is particularly nice, with ban-chan, unforgettable savory egg soufflé, a duo of stews and, of course, USDA Prime and American Wagyu beef.","16 W 22nd St, New York, 10010",212-401-7986,,Open daily 5pm – 9pm
 K'Far,https://media.timeout.com/images/105995641/750/562/image.jpg,Photograph: Courtesy of Mike Persico,"What is it? A pretty Israeli restaurant by way of Philadelphia in Williamsburg’s Hoxton hotel. Why we love it? That K’Far might be better known as Laser Wolf’s related downstairs neighbor is a quirk of the headline cycle. The latter’s nice, and lovely, too, on the hotel’s 10th floor. But K’Far is superb on the lobby level, with large dining rooms arranged a few ways and a chicken schnitzel to recall again and again, along with savory baklava, Palestinian lamb tartare and world class dorade.","['Restaurants', 'Williamsburg']",https://www.timeout.com/newyork/restaurants/kfar,Laser Wolf’s even better follow-up is NYC’s best new hotel restaurant.,4,"When Laser Wolf opened on the 10th floor of Williamsburg’s Hoxton hotel last May, it set off a chain reaction of accolades that virtually filled its reservation slots clear across the calendar. Almost 12 months later, availability is still stuffed nearly to the margins. You can now dine on a Saturday night more than two weeks from press time, for example, but not before 11:15pm. 
Having once waited more than two hours as a drop-in, to be seated at the bar, facing away from the notable view, for agreeably-fired skewers and a wonderfully abundant assortment of salatim, I still couldn’t, in good conscience, advise that anyone else follow that particular tack, then or today. That edition of chef Michael Solomonov’s Philadelphia original of the same name, however, still made it to my list of NYC’s best new restaurants of 2022, which says as much about its broad appeal in the dining room proper, booked at a rather early or quite late hour, still with sensational, unlimited babaganoush, gigantes, hummus and warm, ideal pita, as it does about last year’s contenders.  
K’Far, another Philly follow, debuted in the hotel’s sunken lobby level last November with a considerably lower hum ever since. And, although it is even better than its lovely and oft-praised upstairs related neighbor, you can actually get a table, more or less whenever. Mild situational Twilight Zone vibes aside, this apparent disturbance in the balance of public and media fondness for a destination relative to its objective goodness in such clear display is ultimately the restaurant-goer’s gain. A great place you can simply visit? For spring? Groundbreaking! 
The large Israeli restaurant shares some style notes with its PA predecessor. It’s warmly appointed, with soft, soothing hues and polished, beach house themes. There are three dining areas: the sleek, lofty, tri-sided chef’s counter to the left behind the host desk, what feels like the main dining room to the right, and the verdant adjacent atrium that’s full of foliage and natural light diffused through its glass panels. 
This is New York City’s best new hotel restaurant in the last several years, and it wins a high spot among the few true finest in the category overall. It would be as good anywhere, untethered from any naturally traveler-oriented conceit, but, aside from the notable friendliness of everyone I’ve encountered here, it escapes any tourist trappings. It also keeps the long hours expected of its genre, opening at 8am with borekas, Jerusalem bagel sandwiches and eggs for breakfast, and adapting to the mealtime of day until 11:30 on peak nights. 
The dinner menu starts small but shareable. Eight two-bite pieces of baklava ($18) are jubilantly springy and savory with flavorful, prudently salty haloumi, adorned with a vibrant shower of crushed pistachios. It’s a perfect snacking, drinking and chatting app. The same section’s roasted fennel Caesar ($16) is also quick to disappear. Its titular ingredient’s layers are subdued to mild, lightly blanketed in dressing and amplified by bolts of pecorino and the greatest salad crunch-enhancing accouterment in recent memory, described in understated fashion only as “pita crumbs,” of which I could not get enough.  
Even bigger in a landscape of increasingly miniaturized items at other operations, the Palestinian lamb tartare ($19) covers a swath of its plate in mauve, punctuated by perky shipka peppers and served with leafy green vehicles. It's a fantastic preparation for the meat’s fresh, subtly earthy notes.
A dorade entrée ($45) is not only the most excellent I’ve had of its kind, but one of the nicest fish of any variety I’ve had anywhere: on expensive tasting menus, at august seafood institutions, and considerably closer to the saltwater of the Mediterranean. It’s served tail-on and deboned for a practical whole fish presentation without any pesky poking around. Its simple seasoning and flame kiss allows the rich, tender white meat inside to shine. Its bed of creamy spring pea tzatziki with shabazi is peak form, and would be worth ordering on its own, were it a standalone dip.  
Ask what’s can’t-miss and you’ll get plenty of fair answers, but the chicken schnitzel ($30) is an automatic signature dish. The expertly butchered, juicy bird’s crunch comes from kataifi that gives the pounded fowl a light, crisp coat that seems poised to float into the air. It’s accompanied by a portion of tehina with a dollop of bright schug with a bit of heat I’d also like to pair with almost everything here and everywhere, including the delicious coconut ice cream that comes with a passable chocolate kanafi ($12) for dessert, as dynamically additive as this sauce is.  
Five months in, K’Far is the increasingly atypical terrific new restaurant that you can reliably book without any reservation platform gymnastics, and one that will give the lucky out-of-towners filling the stories in the hotel above the idea that dining this well in NYC can sometimes, somehow, seem easy. 
Vitals
The Vibe: Sprawling, airy and lofty but still intimate and welcoming across its three spaces, including the verdant atrium. 
The food: An Israeli all-day cafe, bar and restaurant, K’Far serves standout savory baklava, excellent lamb tartare, wonderfully light chicken schnitzel and a dorade that’s among the best fish our critic has ever had. 
The Drinks: Wine, beer and refreshing cocktails like the celery gin and tonic and Yalla Yalla, with vodka, elderflower, cucumber and soda.
K’Far is located at 97 Wythe Avenue. It is open 8am-10:30pm Sunday-Wednesday and 8am-11:30pm Thursday-Saturday.","97 Wythe Avenue, NYC, 11249",718.215.7154,https://www.kfarbrooklyn.com/menu,8am-10:30pm Sunday-Wednesday and 8am-11:30pm Thursday-Saturday.
 Sofreh,https://media.timeout.com/images/105280483/750/562/image.jpg,Photograph: Gabi Porter,"What is it? One of NYC's few Persian restaurants where plates like roasted eggplant dip, beef kebab and rosewater sorbet shine bright. Why we love it? The Prospect Heights favorite is one of the best and only representations of Persian cuisine in town. Sofreh's lengthy cocktail list is also unlike most others in the area.","['Restaurants', 'Persian', 'Prospect Heights']",https://www.timeout.com/newyork/restaurants/sofreh,A great Iranian restaurant in Brooklyn.,4,"This revered Iranian restaurant is light and bright with fresh flavors to match. Chef Nasim Alikhani’s debut first opened in 2018 and quickly topped best-of lists citywide for its lovely environs and menu items like Persian herb and noodle stew, saffron rice, smoked eggplant and braised lamb.","75 St Marks Ave, New York, 11217",646-798-1690,https://www.sofrehnyc.com/menu,
 Ugly Baby,https://media.timeout.com/images/105540332/750/562/image.jpg,Photograph: Time Out / Ali Garber,"What is it? Booming on Smith Street in Carroll Gardens since 2017, Ugly Baby is a Thai restaurant that will test the limits of your heat tolerance. Fiery flavors abound in the “stay-away spicy Udon Thani’s duck salad,"" and orders of soothing tue ka ko will slake any palate flames. Why we love it? Ugly Baby’s use of spice is a master class in heat notable to aficionados and novices alike. Like a lot of the city's best no-reservations restaurants, the wait for tables can be long, and if you don't nab a spot close to 5pm, expect to linger for a while.","['Restaurants', 'Thai', 'Carroll Gardens']",https://www.timeout.com/newyork/restaurants/ugly-baby,,0,"This Thai restaurant has been delighting and exciting Smith Street with its famously hot and spicy preparations since 2017. Arrive early, or plan to wait at the great bar Brooklyn Social not too far away, as Ugly Baby does not accept reservations for its narrow space’s tables.","407 Smith Street, Brooklyn, 11231",,,"Thursday-Saturday, 5pm-10pm; Sunday, 5pm-9pm"
 Elias Corner,,,"What is it? A familial seafood spot on a cozy Queens corner. Why we love it? If you know anything about Elias Corner for Fish, you know that the decades-old local favorite eschews menus in favor of a catch of the day display case. Choose from whole fish, octopus, bivalves and other fantastic sea fare. There’s a nice, breezy side deck in addition to Elias’ homey dining room. A post shared by Elias Corner (@eliascorner)","['Restaurants', 'Seafood', 'Astoria']",https://www.timeout.com/newyork/restaurants/elias-corner,,0,"If you know anything about Elias Corner for Fish, you know that the decades-old local favorite eschews menus in favor of a catch of the day display case. Choose from whole swimmers, octopus, bivalves and other fantastic sea fare. There’s a nice, breezy side deck in addition to Elias’ homey dining room.","24-02 31st St, Queens, 11102",718-932-1510,,"Wednesday-Monday, 4pm-10pm"
 Oxomoco,https://media.timeout.com/images/105323479/750/562/image.jpg,Photograph: Gabi Porter,"What is it? Michelin-starred Oxomoco (from the team behind Speedy Romeo) focuses on wood-fired dishes. Taco options include beet “chorizo,"" fish and lamb varieties. Why we love it? The food is serious and the atmosphere is buoyant and the whole place is a lot of fun. Case in point: Oxomoco has frozen drinks on its cocktail list, which many restaurants of this caliber can’t even.","['Restaurants', 'Mexican', 'Greenpoint']",https://www.timeout.com/newyork/restaurants/oxomoco,,4,"Michelin-starred Oxomoco seems like it's been around a lot longer than its five years, in part because the Mexican restaurant has racked up so many accolades since 2018, and in part because it’s had such a present character from day one. Menu favorites in the crisp, soaring space include best-in-class guacamole, aguachile, five taco types and a bavette to rival steakhouse selections.","128 Greenpoint Ave, New York, 11222",,https://www.oxomoconyc.com/menus/,"Monday-Friday from 12pm-3pm and 5:30pm-10pm; Saturday-Sunday, 11am-3pm and 5:30pm-10pm."
 Cadence,https://media.timeout.com/images/105894513/750/562/image.jpg,Photograph: Courtesy of AJ Annunziata,"What is it? A vegan soul food restaurant led by executive chef Shenarri Freeman that recently relocated from a slip of an address to a new, 80-seat space nearby. Cadence is part of Overthrow Hospitality’s group of NYC plant-based restaurants. Why we love it? Freeman’s menu is a list of hits like the rich, expertly-textured grits and excellent hearts of palm cakes. The southern-fried lasagna with pine nut ricotta, spinach and a red wine Beyond Meat bolognese is a can't-miss dish.","['Restaurants', 'East Village']",https://www.timeout.com/newyork/restaurants/cadence,Executive chef Shenarri Freeman’s southern fried lasagna is one of 2021’s must-taste plates.,0,"Overthrow Hospitality is an NYC leader among plant-based restaurants (Avant Garden and Ladybird among them), and this year’s Cadence, which opened in the East Village on March 31, is emerging as the group’s crown jewel.
The narrow restaurant’s interior shines like precious stones, with a gleaming marble bar, emerald-green tiled floor and shades of blue and bronze throughout. If you snag one of the 12 seats at its popular chef’s counter, it’s like dining in a dainty music box. There’s also room for about 18 more in the outdoor dining setup on East 7th Street.  
Executive chef Shenarri Freeman has created a list of vegan soul food hits, including a standout southern-fried lasagna. Layers of pasta, pine nut ricotta, spinach and a red wine Beyond Meat bolognese are rolled into cylinders, breaded and deep-fried to golden. Every bite of the lasagna is perfect—crisped at the edges with a yielding chew and zippy sauce that’s allowed to shine. It also has the added satisfaction of a nice crunch thanks to its turn through the deep fryer. And it's an excellent study in subtlety. Any more crumbled meat substitute and it would have become a ""Beyond Lasagna,"" rather than the signature dish that it is. 
Other menu highlights include silky smoked grits (rich with torched oyster mushrooms, plump, bursting corn kernels and crispy garlic and shallots like savory candy) and hearts of palm cakes with chickpeas, prepared with a lightly crunchy finish and flaky center served atop a perky chipotle aioli slaw. Beer, wine and cider are also available. 
Cadence recently relocated to a larger space at 111 East 7th Street.","111 East 7th Street, New York, 10009",,,"Wednesday-Friday from 5pm to 11pm, Saturday from 2pm to 11pm and Sunday from 2pm to 10pm."
 Lillo,,,"What is it? Excellent neighborhood pasta worth visiting in spite of its caveats. Why we love it? Maybe it's because we first started visiting when Lillo still had a de facto BYOB policy and before it became almost impenetrably popular, but we keep recommending this tiny pasta shop even though it doesn’t have booze, a bathroom, hardly any seats or take credit cards. We’re just so fond of Lillo’s no-nonsense meatballs, fettuccine with speck and zucchini, branzino, broccoli rabe and lasagna, that we’re willing to wait for one of it’s smattering of tables and pay cash for the pleasure. Head to Henry Public next door for great drinks after dinner.","['Restaurants', 'Italian', 'Cobble Hill']",https://www.timeout.com/newyork/restaurants/lillo,A tiny Italian spot with tons of charm.,0,"Even in the absence of reservations, restrooms or booze, this tiny Italian restaurant is one of our top recommendations in the greater Brooklyn Heights, Cobble Hill area. It has tons of character in its truncated space, plus housemade pasta options like fettuccine with speck and zucchini, spaghetti, linguine and terrific meatballs.","331 Henry St, Brooklyn, 11201",347-763-0899,https://lillobrooklyn.com/menus/,"Tuesday-Sunday, 12pm-8pm."
 Van Da,https://media.timeout.com/images/105436040/750/562/image.jpg,Photograph: Courtesy Van Da,"What is it? A Vietnamese restaurant that lit up the neighborhood when it first opened in 2019 and earned notices like a star in the New York Times and a Michelin Bib Gourmand nod in short order. Why we love it? Van Da still has some items from its opening menu—a good thing since it was never easy to nab a table. Early hits like the short rib grilled cheese with a shot of pho, shaking beef and shrimp and pork tapioca dumplings are as wonderful to return to as they are to taste for the first time. ","['Restaurants', 'Vietnamese', 'East Village']",https://www.timeout.com/newyork/restaurants/van-da,,0,"One of the best new restaurants of 2019 when it opened across two petite floors on 4th Street, small but airy upstairs, and a little moodier and even more intimate for romance below, Van Da still serves some of the hits that first made it a favorite. Revisit the pho short rib grilled cheese, banh bot loc and shaking beef à la carte, or mix it up with three course sets for $52 per person.","234 E 4th St, New York, 10009",917.994.4781,https://www.vanda.nyc/fullmenu,"Tuesday-Saturday, 5pm-9:30pm."
 Di Fara Pizza,https://media.timeout.com/images/100537935/750/562/image.jpg,Photograph: Caroline Voagen Nelson,"What is it? A favorite among favorites in a city with plenty of pizza. Why we love it? Ask any new or old pizza-maker about their inspiration, touchpoint, or simply their favorite pie, and Di Fara, which dates back to 1965, will come up again and again. Toppings include all the hits–sausage, pepperoni, mushrooms and so on–in addition to extras like soppressata, broccoli rabe and artichokes all atop thin, crispy crust.","['Restaurants', 'Pizza', 'Midwood']",https://www.timeout.com/newyork/restaurants/di-fara-pizza,A pizza classic since 1965.,0,"The pizza shop that would one day become inspiration, aspiration and muse to pie-makers citywide and beyond first opened in 1965. Today, its original location still stands in Brooklyn, with another shop at South Street Seaport. Whole pizzas are available with tons of topping options, and squares and slices are on the menu, too.","1424 Ave J, Brooklyn, 11230-37",718-258-1367,,
 Dirt Candy,https://media.timeout.com/images/102409675/750/562/image.jpg,Photograph: Paul Wagtouicz,"What is it? Chef Amanda Cohen’s Dirt Candy was dishing out creative, satisfying, wildly popular vegetarian food before going plant-based became headline news. Why we love it? Cohen’s prix-fixe changes seasonally, so there's always a reason to come back. The present, $105, five-course menu includes inventive preparations of beets, sweet potatoes and chicory.","['Restaurants', 'Vegetarian', 'Lower East Side']",https://www.timeout.com/newyork/restaurants/dirt-candy-2,Plant-based tastings downtown.,3,"Chef Amanda Cohen’s Dirt Candy first opened in 2008, years before other restaurants were snapping up headlines for going plant-based. It’s updated its menu each season in the interim. Expect items like zucchini Rangoon spring rolls stuffed with cream cheese and eggplant caramelle on the five course, $95 per person menu.","86 Allen St, NY, 10002",212-228-7732,,Tue–Sat 5:30–11pm
 Hometown Bar-B-Que,https://media.timeout.com/images/106007529/750/562/image.jpg,Photograph: Courtesy of Amber Sutherland-Namako,"What is it? NYC’s best barbecue destination. Why we love it? Hometown is in top form after ten years in Brooklyn. Lines still form and stretch all the way out the door for ribs, pulled pork, towering sandwiches and nice sides. It also has even more space to accommodate the crowds than when it first opened, both inside the warehouse-sized dual dining areas (each with its own bar), and outside at a multitude of picnic tables.","['Restaurants', 'Barbecue', 'Red Hook']",https://www.timeout.com/newyork/restaurants/hometown-bar-b-que,NYC's best barbecue restaurant.,0,"Now in its tenth year, this sprawling barbecue destination near the Red Hook waterfront is the best in New York City. Lines still form out the door for Hometown's brisket, ribs, pulled pork and all manner of sandwiches.","454 Van Brunt St, NY, 11231",347-294-4644,https://hometownbbq.com/menu-rh,"Sunday, Tuesday, Wednesday and Thursday, 12pm-10pm. Saturday and Sunday, 12pm-11pm."
 Olmsted,https://media.timeout.com/images/103512574/750/562/image.jpg,Photograph: Paul Wagtouicz,"What is it? An accolade-collecting special occasion destination with a focus on seasonality. Why we love it? Olmsted became almost impossible to book with it first opened in 2016, and its still worth the lower effort today. Its expertly executed and frequently rewritten menus are presently configured into a $38 brunch prix-fixe and $125 dinner tasting, with items like a duck liver tartlet and squash several ways.","['Restaurants', 'Contemporary American', 'Prospect Heights']",https://www.timeout.com/newyork/restaurants/olmsted,,4,"Chef Greg Baxtrom’s Olmsted took Brooklyn and beyond by storm when it opened with its high ceilings and verdant, minimalist decor in 2016. It became the city’s toughest reservation seemingly overnight; a designation that has only recently eased up. Today, Baxtrom operates a few restaurants in the area, plus one at Rockefeller Center, and Olmsted is the collection’s standout. Its $125 tasting menu includes four courses (including bread service and dessert) with choices like beef tartare, asparagus, scallops and duck.","659 Vanderbilt Ave, Brooklyn, 11238",718-552-2610,,"Wednesday-Friday, 5pm-10pm; Saturday-Sunday, 12pm-2:30pm and 5pm-10pm."
 Leland Eating and Drinking House,https://media.timeout.com/images/105782038/750/562/image.jpg,Photograph: Courtesy Belathée Photography,"What is it? A charming neighborhood restaurant on a quaint corner that you might find yourself unexpectedly going out of your way to return to. Why we love it? A relatively small menu actually allows for myriad combinations, visit after visit. We expect to try them all some day, once we can resist the temptation of Leland’s trout rillette, charred lemon skillet mussels and whole fried fish. The kitchen also turns out some of the best bread you’ll find in or out of NYC’s finest bakeries.","['Restaurants', 'Prospect Heights']",https://www.timeout.com/newyork/restaurants/leland-eating-and-drinking-house,A choose your own adventure menu where every outcome is a good one,0,"“I’m so glad I know this is in the neighborhood,” a friend said midway through dinner at Leland Eating and Drinking House recently, before predicting how much money he’d eventually spend over the course of future visits. The restaurant, which briefly operated last December before fully opening in February, makes it easy to imagine return trips. It’s an easy place to be. 
For one, the corner spot is comfortable, divided into two dining areas. Enter from the Dean Street side and the bar is to your left with a long, pale wood banquette and tables to your right. Farther back and down a few stairs, another dining room is closer to the kitchen and looks out on Underhill Avenue. Both spaces have big windows and lots of white oak. When a protagonist is a chef/owner at an unseen restaurant in a Nancy Meyers movie, the restaurant probably looks like this. 
The menu is divided, too, split into three sections. Most of the snacks and plates could just as accurately be called appetizers, and the large plates entrées. Order any combination and you’ll look like you know what you’re doing. Everything here makes sense. 
The choppy smoked steelhead trout rillette ($9) is a fun presentation. Served in a jar with crispy za’atar potato chips it’s emblematic of the restaurant overall: good and unfussy and apparently effortless. You don’t worry about how to best divide it however many ways—there’s a pile of potato chips, just keep loading them up until it’s gone! This is also one of the dishes we’ve thought about the most since visiting, the typically mild fish variety pleasantly richer than expected with a saline current. It tastes like something you’d have at a dockside picnic on the first cool day of summer.   
The mussels ($18) are one exception to the plates-are-apps rule. Filling a large skillet, they could easily stand for a main. They’re also an example of how Leland exceeds expectations for what’s typically categorized as a “neighborhood restaurant.” We’d never anticipate anything approaching perfection from such a place, just tasty enough food and a good enough time. But Leland’s charred lemon mussels in a shallow broth with a perky citrus pop have every indication of the preparation we would expect at a much more expensive restaurant striving to justify its price tag. Each gleaming onyx shell seemed to be open to the same degree, each with a uniformly plump interior. It’s a studied offering with ideal execution.   
Other highlights among the smaller plates include crispy pollock fritters over horseradish tzatziki ($9) that you could call elevated bar food, and the mushrooms and sourdough ($15), which tops thick pieces of toast with tender mushrooms in cream, thyme, garlic and ginger. 
Leland is not explicitly a seafood restaurant, it just happens to do seafood particularly well. Its large plates include a salt-citrus brined half chicken ($26) and a nicely prepared sliced grilled pork chop ($34). But the whole fish ($32)–a lovely, lightly fried scup–is a standout, the variety sometimes called porgy enlivened by a glancing, near-sweetness and caramelized flavor and texture.
A decent selection of beer and wine are available from the bar, in addition to a brief cocktail list. Tabled together, the J Bomb, which layers a barely bitter icy negroni over frozen margarita base and the Cider House, with a palm-sized apple slice in a rye, lemon and maple seem to nod goodbye this season’s weeks of heart and humidity and break into the fall to come. 
We’re so glad to know that Leland Eating and Drinking House in our friend’s neighborhood, even though it isn’t in ours. But we’re already imagining return trips, in any case. 
Leland Eating and Drinking House is located at 755 Dean Street and is open from 1pm-4pm Wednesday-Friday, 10am-4pm Saturday and Sunday, 5pm-10pm Wednesday, Thursday and Sunday, 5pm-11pm Friday and Saturday, and 4-5pm Wednesday-Sunday.","755 Dean Street, New York, 11238",646-470-7008,,Sunday from 10am–4pm and 5pm–10pm; Wednesday and Thursday from 1pm–4pm and 5pm–10pm; Friday from 1pm–4pm and 5pm–11pm; and Saturday from 10am–4pm and 5pm–11pm.
 Pata Paplean,https://media.timeout.com/images/105520504/750/562/image.jpg,Photograph: Gabi Porter,"What is it? Now operating for more than a decade, this is a cozy noodle bowl destinarion (we’d recommend the boat variety) where you’re sure to be satisfied. Why we love it? These noodle soups are so fine you'll still want to seek them in the steamy summer. Colorful cocktails will cool you down when temperatures rise above the broth this season.","['Restaurants', 'Thai', 'Elmhurst']",https://www.timeout.com/newyork/restaurants/pata-paplean,,4,"Some dishes—like a bowl of boat noodles—need no translation. I couldn’t read the menu at Pata Paplean, so I pointed aimlessly and would quickly become a fan: a steaming bowl of broth enhanced by the crimson of pig’s blood, with silky rice noodles, bits of ground pork, a slice of liver and a smattering of herbs on top. It felt like I was in Bangkok. Instead, I found myself at a bar in Elmhurst, Queens—often dubbed New York’s Thai Town.
Nothing appears to add up at Pata Paplean until a bowl of boat noodles appears before you. One chopstick is longer than the other, stuffed animals adorn a light fixture, and a Big Bird vase sits next to antique-looking tchotchkes. 
A few things you should know beforehand: This 20-something-seat bar only serves the noodles ($5, cash only) on weekends. The soup portions look like they come from a kid’s menu, but for the price, go ahead and order two (or three). Virtually everything is written in Thai.
So, I convinced a Thai friend to help me navigate this gem. Once at a table, don’t be fazed by the Post-it–size sheets of paper you’ll fill out to place an order. Pick your base among three choices: spicy tom yum, succulent braised pork or the must-order boat noodles. Pick rice or egg noodles. There’s also an option to order the soup “dry,” meaning the broth is served on the side.
If you’re looking for heat, the chili-flecked tom yum hits the spot with a hearty broth that doesn’t overpower. The braised pork is less robust, with the herbs taking center stage. After one bite, you’ll find out there’s no translation needed.","76-21 Woodside Avenue, New York, 11373",,,
 Rangoon,https://media.timeout.com/images/105619443/750/562/image.jpg,Courtesy of Rangoon,"What is it? What began as a Burmese cuisine pop-up by chef Myo Moe in 2015 became a brick-and-mortar restaurant in 2020. Why we love it? Rangoon's southeast Asian cuisine is less commonly seen in NYC, and Moe’s menu displays a nice array. Vibrant dishes like lemongrass fish noodle soup and tamarind pumpkin stew are served in the bright, sleek space. Its email list also includes special offers with surprising frequency, and Rangoon recently opened a Manhattan location.","['Restaurants', 'Burmese', 'Crown Heights']",https://www.timeout.com/newyork/restaurants/rangoon,,0,"Started in 2015, chef Myo Moe’s erstwhile Burmese pop-up has become a brick-and-mortar restaurant. While this southeast Asian cuisine is rare in the city, Moe’s menu offers a tasty primer.  The sleek, all-white space is an excellent foil for the colorful dishes, including lemongrass fish stew, cinnamon chicken and spicy pork mee shay.","500 Prospect Pl, Brooklyn, 11238",,,
 Bo Ky,https://media.timeout.com/images/105538004/750/562/image.jpg,Photograph: Time Out/Ali Garber,"What is it? Bo Ky’s menu is one of few specializing in Chaoshan region cuisine. Its noodle menu is long, and you'll find roasted duck and rice dishes too. Why we love it? Bo Ky is not only one the most comprehensive, but also one of the best noodle shops in the city, and it performs above its dollar sign designation.","['Restaurants', 'Chinese', 'Chinatown']",https://www.timeout.com/newyork/restaurants/bo-ky,,0,This downtown pho spot opened in 2019 as an offshoot of the original that dated back to 1986. Choose from oodles of noodles with sundry protein varieties in the efficient storefront.,"80 Bayard St, New York, 10013",212-406-2292,http://www.bo-ky-nyc.com/#menu,Daily 8am–10pm
 The Freakin Rican,https://media.timeout.com/images/105539667/750/562/image.jpg,Photograph: Courtesy of The Freakin Rican,"What is it? What first came into existence as a street fair staple, executive chef/owner Derick López’s The Freakin Rican gained critical acclaim shortly after going brick and mortar. Why we love it? The plantain and pork pasteles alone are worth the trip to Astoria if you aren’t a local.","['Restaurants', 'Puerto Rican', 'Astoria']",https://www.timeout.com/newyork/restaurants/the-freakin-rican,A Puerto Rican spot in Queens.,0,"What first began as a street fair staple in 2014 became a brick and mortar spot in 2019. Executive chef Derick Lopez’s Puerto Rican menus include pasteles, chicharrón, pernil and mofongo.","4306 34th Avenue, New Yorkk, 11101",(929) 349-1080,,
 Usha Foods,https://media.timeout.com/images/105539910/750/562/image.jpg,Photograph: Emma Orlow,"What is it? A vegetarian Indian food destination in Queens specializing in fast casual bites, savory snacks and colorful desserts. Why we love it? Generous portions and myriad combo platter options that let you try almost everything in just a few visits make this one of the borough's highest-ranking meatless options.","['Restaurants', 'Indian', 'Queens']",https://www.timeout.com/newyork/restaurants/usha-foods,Quick vegetarian plates available late.,0,"One of the city’s best vegetarian destinations, Usha Foods has been family owned for more than twenty years. Menu items include pani puri, vegetable hakka noodles and several dosa varieties. Combination plates are available in various configurations that max out at $14. The quick service Indian spot is also open until 1am every day.","255-03 Hillside Avenue, Queens, 11004",(718) 343-1500,,"Monday-Friday, 11am-1am; Saturday-Sunday, 9:30am-1am."
 Bunna Cafe,https://media.timeout.com/images/105515731/750/562/image.jpg,Photograph: Bunna/Theodora Johnson,"What is it? A vegetarian Etheopian go-to with an abundance of items like red lentils in berbere sauce, ground split peas simmered with tomato and sautéed crimini mushrooms. Cool the heat of spicier bites with a bit of injera. Why we love it? Individual orders are like a mini buffet. And Bunna’s sharable quality makes it a delightful date spot.","['Restaurants', 'Ethiopian', 'East Williamsburg']",https://www.timeout.com/newyork/restaurants/bunna-cafe,Plant-based Ethiopian preparations portioned to share.,0,"This plant-based Ethiopian restaurant first opened at this address in 2014. Choose from red lentils in berbere sauce, ground split peas simmered with tomato and sautéed crimini mushrooms in various configurations appropriate for sharing.","1084 Flushing Ave, Brooklyn, 11237",347-295-2227,,"Sun, Mon, Wed, Thurs, 11pm–10pm; Fri, Sat 12pm-11pm; Sunday/Sunday brunch 12pm-5pm."
 White Bear,https://media.timeout.com/images/105501185/750/562/image.jpg,Photograph: Ali Garber,"What is it? Dumpling aficionados trek to this tiny eatery specifically for the No. 6: A dozen pork wontons doused in roasted chili oil and topped with a smattering of diced pickled vegetables all served on a Styrofoam plate. There are oodles of other menu items, but this is the one that keeps people coming back time and again. Why we love it? These are destination dumplings in a city with no shortage of options.","['Restaurants', 'Flushing']",https://www.timeout.com/newyork/restaurants/white-bear,,0,"This tiny dumpling shop is famed in NYC and beyond for its No, 6: a dozen pork wontons in chili oil for $10. Cash only and with only a few seats, people still flock to the spot in a city abundant with competitors.","135-02 Roosevelt Ave, New York, 11354",718-961-2322,,"9am-8pm, Thursday-Tuesday."
 Charles Pan-Fried Chicken,,,"What is it? James Beard-nominated chef Charles Gabriel’s sensational fried chicken. Why we love it? In addition to top-notch bird, the pulled pork, smoked ribs and sides also satisfy.","['Restaurants', 'Soul and southern American', 'Harlem']",https://www.timeout.com/newyork/restaurants/charles-pan-fried-chicken,A new location for an NYC fried chicken favorite,0,"The James Beard-nominated, North Carolina-born chef Charles Gabriel recently relocated his excellent fried chicken operation to the Upper West Side, with more offshoots promised for the near future. Pulled pork, barbecue chicken and smoked ribs are also available, along with sides like baked mac and cheese, collard greens and grits.","340 West 145th Street, New York, 10039",(646) 590-0662,,Sunday-Thursday 11am-10pm; Friday & Saturday 11am-11pm
 Raoul’s,https://media.timeout.com/images/100189547/750/562/image.jpg,,"What is it? Soho’s most West Village-esque restaurant with Alsatian flair Why we love it? Raoul’s romance feels thrillingly incidental; like a place that you and an as-yet affectionate associate can accidentally stumble upon and fall in love. The dining room’s a little moody, its art’s a little nudie and these rhymes must end now but the steak here is quite good. You can also get oysters, of course, and tartare, foie gras, moules frites and roast chicken. Even confirmed cocktail devotees will be tempted by Raoul’s deep French reds.","['Restaurants', 'French', 'Soho']",https://www.timeout.com/newyork/restaurants/raouls,A romantic French favorite downtown since 1975.,0,"While New York City’s dining landscape seems increasingly covered with food and drink businesses crafted to cater to social media, Raoul’s is a real-deal downtown destination that’s been open since 1975. The French restaurant’s bar and dining room are a veritable collage of antique-fixtures and copious nude paintings all awash in romantic light. Menu items include escargots, crab beignets, seafood, chicken and steak preparations.","180 Prince St, New York, 10012",212-966-3518,,Daily 5pm–10:45pm weekdays; 11am-10:45pm weekends.
